,Unnamed: 0,Source,Destination,Q,hour,day,weather,Start_Latitude,Start_Longitude,End_Latitude,End_Longitude
268,268,Financial District,Theatre District,23.949976232347808,6,1,Rain,42.356,-71.055,42.352,-71.064
269,269,Haymarket Square,Theatre District,25.219769025643668,6,1,Rain,42.364,-71.059,42.352,-71.064
270,270,North End,Theatre District,23.860364313247715,6,1,Rain,42.365,-71.056,42.352,-71.064
271,271,North Station,Theatre District,23.22570556189415,6,1,Rain,42.366,-71.062,42.352,-71.064
272,272,Northeastern University,Theatre District,23.014156460638524,6,1,Rain,42.34,-71.09,42.352,-71.064
273,273,South Station,Theatre District,23.759088252175083,6,1,Rain,42.352,-71.055,42.352,-71.064
274,274,Theatre District,Theatre District,24.792504672661146,6,1,Rain,42.352,-71.064,42.352,-71.064
275,275,West End,Theatre District,23.74586517826945,6,1,Rain,42.365,-71.064,42.352,-71.064
276,276,Back Bay,West End,21.95250454830621,6,1,Rain,42.35,-71.08,42.365,-71.064
277,277,Beacon Hill,West End,21.83895293133946,6,1,Rain,42.356,-71.069,42.365,-71.064
278,278,Boston University,West End,21.461695345476524,6,1,Rain,42.351,-71.105,42.365,-71.064
279,279,Fenway,West End,23.27516883274383,6,1,Rain,42.347,-71.092,42.365,-71.064
